"species","model","cv","COR","ROC","PRG"
"can15","BRT-stump","spatial",0.149668734936903,0.618372002468033,0.28492524882048
"can15","BRT-stump","random",0.088833830499321,0.557764586640858,0.168646603217404
"can15","MaxEnt-LQP","spatial",0.184396519133708,0.637443542395277,0.350301834738037
"can15","MaxEnt-LQP","random",0.136242253287702,0.598160673869385,0.255658728445888
"can16","BRT-stump","spatial",0.176721611934597,0.833768298043263,0.925479027328777
"can16","BRT-stump","random",0.18041538368228,0.830344560425254,0.766529444068653
"can16","MaxEnt-LQP","spatial",0.193332348944883,0.83207768537794,0.821507570127399
"can16","MaxEnt-LQP","random",0.199175444483177,0.839129730185635,0.785201882936689
"can17","BRT-stump","spatial",0.338702600514178,0.776574685390719,0.645714650199946
"can17","BRT-stump","random",0.383243428221776,0.799719977628154,0.688182168524405
"can17","MaxEnt-LQP","spatial",0.340569116439025,0.767728268785125,0.626835724388569
"can17","MaxEnt-LQP","random",0.365206826092905,0.776816565027387,0.643503405502443
"can18","BRT-stump","spatial",0.272705058474307,0.787180206089422,0.775907627895331
"can18","BRT-stump","random",0.268431371668615,0.774420878262284,0.689684608378381
"can18","MaxEnt-LQP","spatial",0.274513744140315,0.793411228420523,0.792299278315075
"can18","MaxEnt-LQP","random",0.272692928836018,0.794760548252729,0.790846528046369
"can19","BRT-stump","spatial",0.0111109744003401,0.580824224926092,-3.09459206279858
"can19","BRT-stump","random",0.0085172318055722,0.583250269242202,-18.1296457976086
"can19","MaxEnt-LQP","spatial",0.00919920840489422,0.574363843633245,-9.8081429161322
"can19","MaxEnt-LQP","random",0.00829532068810353,0.562475653628452,-13.0097149267077
"can20","BRT-stump","spatial",0.233698717814747,0.786136122007616,0.64454573292651
"can20","BRT-stump","random",0.23118924122992,0.782667526522297,0.546770053429373
"can20","MaxEnt-LQP","spatial",0.226492267403249,0.765598445906755,0.508399982391096
"can20","MaxEnt-LQP","random",0.225690916873467,0.765834928028694,0.491994766297003
"nsw01","BRT-stump","spatial",0.469179489165949,0.827287037037036,0.699690869358499
"nsw01","BRT-stump","random",0.475719204202622,0.828935185185182,0.659425379422141
"nsw01","MaxEnt-LQP","spatial",0.437651309535503,0.795314814814816,0.735756522177182
"nsw01","MaxEnt-LQP","random",0.423724429594339,0.792425925925917,0.693952361049009
"nsw03","BRT-stump","spatial",0.0797039897681589,0.62190996617226,0.440871901310084
"nsw03","BRT-stump","random",0.130400785207536,0.74342961228207,0.0868535076832856
"nsw03","MaxEnt-LQP","spatial",0.110610662165901,0.646456761210858,0.704019510591835
"nsw03","MaxEnt-LQP","random",0.126271669913405,0.691126723913606,0.497562298355788
"nsw05","BRT-stump","spatial",0.0739059399731234,0.57558962264151,0.263953181252704
"nsw05","BRT-stump","random",0.0547341335220327,0.564551886792451,0.583422589222535
"nsw05","MaxEnt-LQP","spatial",0.0986672162884682,0.61247641509434,0.510227485025533
"nsw05","MaxEnt-LQP","random",0.0743276882437262,0.582924528301888,0.330785235166879
"nsw07","BRT-stump","spatial",0.268022364175045,0.797182855167649,0.707481596702357
"nsw07","BRT-stump","random",0.277936769113502,0.789707915658485,0.764228830618753
"nsw07","MaxEnt-LQP","spatial",0.277376883690419,0.789621500172828,0.821404476354136
"nsw07","MaxEnt-LQP","random",0.278841631688514,0.789923954372626,0.816411582094315
"nsw08","BRT-stump","spatial",0.246346571801801,0.854802052785925,0.719504374294115
"nsw08","BRT-stump","random",0.266802903845055,0.877895894428153,0.823247449737357
"nsw08","MaxEnt-LQP","spatial",0.273385167974378,0.878225806451614,0.920830530853304
"nsw08","MaxEnt-LQP","random",0.301753383651125,0.89200879765396,0.972860766298358
"nsw09","BRT-stump","spatial",0.123428671054336,0.61042077922078,0.255385204347201
"nsw09","BRT-stump","random",0.141378183909044,0.622628571428571,0.280808817745538
